
===== PER-OBJECT: world matrix decomposed =====
zdStWfgHXiitQgl type=MESH parent=EuKPpVegcQBiQbq loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
zKTkIrxcXzWwBYK type=MESH parent=lRoKMVsbfCealtF loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
ZtCfdmHJJEMcBCX type=EMPTY parent=xBrLNRikmrHehEX loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)
zukXlhkizWJIDav type=MESH parent=YpWPjdyVXeCQnCk loc_mm=(-40.96,0.00,58.85) rot_deg=(180.00,-0.00,0.00) scale=(0.010,0.010,0.010)

===== MESH OBJECTS: vertex count, world AABB (mm), poly count =====
lJPfQMFXvvcmdtA: verts=24 polys=16 size_mm=(166.13,61.09,118.39) center_mm=(-0.01,0.00,59.19) mat=udkIoumZEJmNcgx
SCDZMtVjLrcxENj: verts=804 polys=497 size_mm=(81.40,10.16,116.80) center_mm=(0.07,5.86,58.95) mat=udkIoumZEJmNcgx
qyiwePzfWzVHIDO: verts=4390 polys=3886 size_mm=(82.45,5.03,117.95) center_mm=(0.15,-2.99,58.97) mat=pOHYMArkYgGMSvE
jJermpgmctotTSe: verts=5412 polys=4635 size_mm=(82.45,5.03,117.95) center_mm=(0.15,2.99,58.97) mat=pOHYMArkYgGMSvE
iKZSoAlRlDlkSEw: verts=642 polys=360 size_mm=(81.32,4.72,116.75) center_mm=(0.03,-3.14,58.89) mat=udkIoumZEJmNcgx
fdaipPEGAeomuPG: verts=576 polys=414 size_mm=(67.62,4.90,117.95) center_mm=(7.56,-2.92,58.97) mat=yakTRrHfzYtGymu
jnMRBCmgCrfRBeG: verts=576 polys=414 size_mm=(67.62,4.90,117.95) center_mm=(7.56,2.92,58.97) mat=yakTRrHfzYtGymu/private/tmp/duo/device-research/blender_inspect2.py:108: DeprecationWarning: 'Material.use_nodes' is expected to be removed in Blender 6.0
  if m.use_nodes:

PXwNjghIIgDPXsa: verts=424 polys=314 size_mm=(80.26,4.03,115.85) center_mm=(-0.95,-2.22,58.97) mat=udkIoumZEJmNcgx
RwQzmCvUWHGlFfV: verts=424 polys=314 size_mm=(80.26,4.03,115.85) center_mm=(-0.95,2.22,58.97) mat=udkIoumZEJmNcgx
tLtsGCMtMAZfCYN: verts=2558 polys=2483 size_mm=(80.16,4.04,115.28) center_mm=(-0.04,7.12,58.97) mat=nfSKIKcFQpPcaTk
uWPCbpPKzwJOmUY: verts=80 polys=101 size_mm=(76.07,4.13,116.61) center_mm=(2.67,-2.87,58.97) mat=udkIoumZEJmNcgx
mjecbCFnfurWWJV: verts=72 polys=92 size_mm=(76.07,4.13,116.61) center_mm=(2.67,2.87,58.97) mat=udkIoumZEJmNcgx
fapSTOypmavuPic: verts=2596 polys=2604 size_mm=(80.16,3.73,115.28) center_mm=(-0.04,7.28,58.97) mat=eNDiNFhhBNyrPgP
UPeNpLgJbcWzHun: verts=2456 polys=2380 size_mm=(80.16,3.56,115.28) center_mm=(-0.04,6.79,58.97) mat=hpXWDkYkMocrDql
bsNHOLGaZbhIluH: verts=884 polys=442 size_mm=(67.20,3.41,117.95) center_mm=(7.78,2.83,58.97) mat=kUUqfCXsMaJHyje
JnJdTkxbQgUtLwU: verts=960 polys=768 size_mm=(78.85,2.55,113.27) center_mm=(-0.39,0.00,58.97) mat=DHVeopyQCCjAHKQ
UXtsBZYlaUvHoEh: verts=295 polys=295 size_mm=(77.68,2.45,111.03) center_mm=(-0.92,0.00,58.97) mat=UBwioVSWewZpuRX
svvOILdVxasRAOk: verts=1600 polys=1524 size_mm=(81.22,0.78,116.48) center_mm=(0.03,-0.39,58.97) mat=AfMuGuGyrRdWvGa
gjdjMOcCfrwBMYH: verts=1698 polys=1615 size_mm=(81.22,0.78,116.48) center_mm=(0.03,0.39,58.97) mat=AfMuGuGyrRdWvGa
xdyyaajWsatVNxN: verts=1252 polys=1204 size_mm=(11.89,5.08,115.75) center_mm=(-35.14,0.00,58.97) mat=AfMuGuGyrRdWvGa
MnPSgwdtGmrkVcg: verts=1812 polys=2002 size_mm=(63.88,3.69,29.00) center_mm=(8.00,6.85,102.01) mat=hpXWDkYkMocrDql
pmvwSuCeZpxeLmT: verts=996 polys=770 size_mm=(16.44,2.70,117.95) center_mm=(-0.06,-2.68,58.97) mat=kUUqfCXsMaJHyje
xpVpaKuQKnXQhFj: verts=614 polys=500 size_mm=(80.16,0.40,115.28) center_mm=(-0.04,-5.30,58.97) mat=DHVeopyQCCjAHKQ
MvKPXGSdYDVvSpk: verts=1300 polys=1289 size_mm=(2.90,8.20,115.58) center_mm=(-41.95,0.00,58.97) mat=isnmyjbXNQZlHGY
zKTkIrxcXzWwBYK: verts=720 polys=648 size_mm=(16.25,1.90,16.23) center_mm=(26.08,10.09,102.67) mat=pOHYMArkYgGMSvE
